ACME,ADAX,ALTU,APAC,ARNE,BEAV,BESS,BIXB,BLAC,BOIS,BOWL,BREC,BRIS,BUFF,BURB,BURN,BUTL,BYAR,CAMA,CENT,CHAN,CHER,CHEY,CHIC,CLAY,CLOU,COOK,COPA,DURA,ELRE,ERIC,EUFA,FAIR,FORA,FREE,FTCB,GOOD,GUTH,HASK,HINT,HOBA,HOLL,HOOK,HUGO,IDAB,JAYX,KENT,KETC,LAHO,LANE,MADI,MANG,MARE,MAYR,MCAL,MEDF,MEDI,MIAM,MINC,MTHE,NEWK,NINN,NOWA,OILT,OKEM,OKMU,PAUL,PAWN,PERK,PRYO,PUTN,REDR,RETR,RING,SALL,SEIL,SHAW,SKIA,SLAP,SPEN,STIG,STIL,STUA,SULP,TAHL,TALI,TIPT,TISH,VINI,WASH,WATO,WAUR,WEAT,WEST,WILB,WIST,WOOD,WYNO
PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC2,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1,PC1
PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC4,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC1,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2,PC2
PC7,PC7,PC4,PC7,PC4,PC4,PC7,PC7,PC7,PC4,PC7,PC7,PC7,PC4,PC7,PC7,PC4,PC7,PC4,PC7,PC7,PC7,PC4,PC7,PC7,PC7,PC7,PC7,PC7,PC7,PC4,PC7,PC7,PC7,PC4,PC7,PC4,PC7,PC7,PC7,PC7,PC4,PC4,PC4,PC4,PC7,PC2,PC7,PC7,PC7,PC7,PC4,PC7,PC4,PC7,PC7,PC7,PC7,PC7,PC5,PC7,PC7,PC7,PC7,PC7,PC7,PC7,PC7,PC7,PC7,PC7,PC7,PC4,PC7,PC7,PC4,PC7,PC7,PC4,PC7,PC7,PC7,PC7,PC7,PC7,PC4,PC7,PC7,PC7,PC7,PC7,PC7,PC7,PC7,PC7,PC4,PC4,PC7
PC4,PC4,PC7,PC4,PC5,PC5,PC4,PC5,PC5,PC5,PC24,PC5,PC5,PC5,PC5,PC6,PC7,PC4,PC7,PC4,PC6,PC4,PC5,PC4,PC4,PC4,PC5,PC5,PC4,PC4,PC7,PC5,PC4,PC5,PC5,PC4,PC5,PC4,PC5,PC4,PC4,PC3,PC5,PC7,PC5,PC5,PC5,PC5,PC4,PC4,PC6,PC7,PC5,PC7,PC4,PC4,PC4,PC5,PC4,PC4,PC5,PC4,PC5,PC5,PC5,PC5,PC4,PC6,PC5,PC5,PC4,PC6,PC7,PC6,PC4,PC7,PC4,PC5,PC5,PC4,PC4,PC5,PC4,PC4,PC5,PC7,PC4,PC4,PC5,PC4,PC4,PC6,PC4,PC5,PC4,PC7,PC5,PC5
PC6,PC6,PC3,PC6,PC7,PC6,PC5,PC6,PC6,PC6,PC4,PC4,PC6,PC6,PC6,PC4,PC5,PC6,PC5,PC6,PC5,PC5,PC7,PC6,PC6,PC5,PC4,PC6,PC6,PC5,PC5,PC4,PC5,PC6,PC7,PC6,PC3,PC6,PC6,PC5,PC5,PC5,PC6,PC6,PC7,PC6,PC6,PC4,PC5,PC6,PC4,PC3,PC6,PC5,PC5,PC5,PC6,PC6,PC5,PC7,PC6,PC6,PC6,PC6,PC4,PC6,PC6,PC5,PC6,PC6,PC5,PC5,PC5,PC4,PC5,PC5,PC5,PC6,PC6,PC6,PC5,PC6,PC5,PC6,PC4,PC5,PC3,PC6,PC6,PC24,PC5,PC4,PC5,PC4,PC5,PC5,PC6,PC6
PC5,PC5,PC5,PC5,PC6,PC24,PC6,PC4,PC4,PC3,PC6,PC6,PC4,PC7,PC4,PC24,PC6,PC5,PC6,PC5,PC24,PC6,PC3,PC24,PC5,PC6,PC6,PC24,PC5,PC6,PC3,PC6,PC6,PC24,PC6,PC5,PC6,PC5,PC4,PC6,PC3,PC7,PC24,PC5,PC6,PC4,PC7,PC6,PC6,PC5,PC24,PC5,PC4,PC6,PC6,PC6,PC5,PC4,PC6,PC6,PC4,PC24,PC24,PC4,PC6,PC4,PC24,PC24,PC4,PC4,PC6,PC4,PC3,PC24,PC6,PC6,PC6,PC24,PC7,PC5,PC6,PC4,PC6,PC24,PC6,PC6,PC6,PC24,PC24,PC6,PC6,PC5,PC6,PC6,PC6,PC6,PC7,PC24
PC24,PC24,PC6,PC24,PC3,PC7,PC3,PC24,PC24,PC7,PC5,PC24,PC24,PC24,PC24,PC26,PC3,PC24,PC24,PC24,PC4,PC24,PC6,PC5,PC24,PC24,PC24,PC4,PC24,PC24,PC6,PC24,PC24,PC4,PC24,PC24,PC7,PC24,PC24,PC24,PC6,PC6,PC3,PC24,PC26,PC24,PC3,PC24,PC24,PC24,PC5,PC6,PC24,PC24,PC24,PC24,PC3,PC24,PC24,PC24,PC24,PC5,PC4,PC24,PC24,PC24,PC5,PC4,PC24,PC24,PC24,PC24,PC6,PC5,PC24,PC24,PC24,PC4,PC24,PC24,PC24,PC24,PC24,PC5,PC24,PC24,PC5,PC32,PC4,PC5,PC24,PC24,PC24,PC24,PC24,PC24,PC24,PC4
PC32,PC32,PC26,PC32,PC24,PC3,PC24,PC32,PC32,PC24,PC32,PC32,PC32,PC32,PC32,PC5,PC24,PC32,PC3,PC32,PC32,PC32,PC24,PC32,PC32,PC33,PC26,PC29,PC26,PC32,PC26,PC32,PC32,PC29,PC32,PC32,PC24,PC32,PC26,PC32,PC24,PC26,PC7,PC26,PC24,PC29,PC24,PC32,PC32,PC26,PC26,PC26,PC32,PC32,PC26,PC32,PC24,PC29,PC32,PC33,PC32,PC32,PC29,PC32,PC32,PC26,PC32,PC32,PC32,PC29,PC32,PC32,PC26,PC26,PC26,PC32,PC32,PC32,PC3,PC32,PC26,PC32,PC32,PC32,PC26,PC32,PC26,PC5,PC29,PC32,PC32,PC26,PC32,PC26,PC26,PC26,PC32,PC32
PC26,PC26,PC24,PC26,PC32,PC9,PC32,PC26,PC29,PC9,PC26,PC17,PC26,PC17,PC29,PC32,PC32,PC26,PC32,PC26,PC26,PC17,PC32,PC26,PC33,PC26,PC32,PC32,PC32,PC26,PC24,PC26,PC17,PC32,PC17,PC26,PC9,PC26,PC32,PC26,PC26,PC24,PC9,PC32,PC32,PC26,PC9,PC26,PC17,PC32,PC32,PC24,PC29,PC17,PC32,PC17,PC26,PC33,PC26,PC32,PC29,PC26,PC32,PC29,PC26,PC32,PC26,PC29,PC29,PC32,PC3,PC29,PC24,PC32,PC32,PC17,PC26,PC29,PC32,PC26,PC32,PC29,PC26,PC26,PC29,PC33,PC24,PC26,PC33,PC26,PC26,PC32,PC3,PC32,PC32,PC32,PC17,PC29
PC35,PC29,PC32,PC3,PC42,PC32,PC26,PC29,PC17,PC17,PC29,PC51,PC29,PC9,PC26,PC19,PC26,PC19,PC17,PC33,PC29,PC79,PC26,PC42,PC26,PC32,PC33,PC26,PC19,PC42,PC32,PC29,PC9,PC33,PC9,PC3,PC32,PC51,PC29,PC42,PC32,PC32,PC32,PC33,PC33,PC32,PC17,PC35,PC42,PC13,PC19,PC32,PC51,PC9,PC33,PC51,PC32,PC32,PC42,PC13,PC33,PC35,PC26,PC26,PC29,PC29,PC8,PC51,PC26,PC26,PC26,PC51,PC32,PC8,PC33,PC42,PC29,PC26,PC9,PC51,PC33,PC26,PC33,PC42,PC32,PC26,PC32,PC19,PC32,PC42,PC51,PC3,PC26,PC29,PC13,PC28,PC3,PC26
