"Date","ACME","ADAX","ALTU","APAC","ARNE","BEAV","BESS","BIXB","BLAC","BOIS","BOWL","BREC","BRIS","BUFF","BURB","BURN","BUTL","BYAR","CAMA","CENT","CHAN","CHER","CHEY","CHIC","CLAY","CLOU","COOK","COPA","DURA","ELRE","ERIC","EUFA","FAIR","FORA","FREE","FTCB","GOOD","GUTH","HASK","HINT","HOBA","HOLL","HOOK","HUGO","IDAB","JAYX","KENT","KETC","LAHO","LANE","MADI","MANG","MARE","MAYR","MCAL","MEDF","MEDI","MIAM","MINC","MTHE","NEWK","NINN","NOWA","OILT","OKEM","OKMU","PAUL","PAWN","PERK","PRYO","PUTN","REDR","RETR","RING","SALL","SEIL","SHAW","SKIA","SLAP","SPEN","STIG","STIL","STUA","SULP","TAHL","TALI","TIPT","TISH","VINI","WASH","WATO","WAUR","WEAT","WEST","WILB","WIST","WOOD","WYNO"
"20080101",13642071,12906267,13077904.5,13099273.5,13608019.5,12419100,12667954.2,12129478.86,14008026,11155976.1,11429445,12017170.5,11619802.5,13761405,12992498.44,13576719,13173926.6,11987042.76,12773382,13396189.5,13134384,13356570,13212240,13307265.66,12367797,12452991,11023248,12106062,12449944.5,13614942,11407626,10630723.5,13792970.82,13087837.5,13453104,13300716,11607732,13295911.5,12292678.5,12952981.5,12588949.5,12515506.5,11969632.5,13609875,12860983.56,11431092,10580212.5,14323290.7,12809788.5,13137739.5,13201860,13090597.5,12996450,13446910.5,11692426.5,13404541.4,12875802,10094613,13198314,11676408.42,13031646,14351076,13108315.5,12480961.5,11712243,11958820.9,12673948.5,12504881.3,11975139,10500963,12709227,12995659.5,12383194.5,13924366.42,11040313.5,13694818.4,12719323.5,12677214,12493565.34,12424776,10707067.5,12919251,12298629,13280368.5,11045878.5,11691342,13534356,13184391,12095289,13582539,13677289.5,14071989,13599159,10368103.92,11514505.98,10802707.42,12903414,12172903.5
"20080102",15623884.5,14742538.5,12922387.5,13274511,12679342.5,11645940,13711666.5,14174361.84,13786183.5,11523195,14166963,13111959,12452737.5,13880949,13245311.96,15006852,12967106,14243377.5,13212582,14404149,13489380,13684432.5,12757926,14913017.82,13806421.5,13750173,12688080,13940035.5,14958082.5,14266158,12659417.68,11893608,13188326.22,13789902,14153092.5,13550163,11334644.32,14656137,13906015.5,14668827,12344835,12228531,11274372,15092449.5,14222622.12,13408356,11472651,16062597.4,13204090.5,15033015,15176302.5,13193622,13776138,13875454.5,13132687.5,13109196,13379707.5,12972367.5,14201251.5,13576641.3,13517860.5,14715633,13301174.7,14291388,13001499,12846464.86,14808331.5,13761303.1,13702671,13773732,12759295.5,13753162.5,11994577.5,15735769.5,12965854.38,13695685.4,14025340.5,12757908,12827568,13629761.94,13135093.5,13174836,14910175.5,15030844.5,12901876.3,13332777,13799044.5,14242027.5,13534042.5,14373649.5,13703548.68,14534437.5,13789456.5,13133692.5,13543306.92,13737756,14095135.5,13583436
"20080103",12529572,12455278.5,9841411.5,11829799.5,11694423,12614490,10815226.5,11634826.5,12456610.5,13559646.6,11453902.5,13032531,12294840,13103995.5,12317261.96,11749341,11066246.6,11627424,12104706,11031331.5,12970671,12136189.5,11948447.72,12322141.2,11551008,11261716.5,11712292.5,11655897,12535995,11817573,11144556.34,12447777,10936930.44,12106080,12543046.5,10897398,12103366.5,11876952,11193851.46,12722299.5,11252136,11041992,12565780.5,11440119,10670775,12243769.5,13786828.5,10991630,12252865.5,11141137.5,12270474,11701966.5,12974230.5,12105862.5,11644158,13006916.6,11122992,11665272,12114814.5,11495227.62,10844572.6,12708676.5,11611623,12785320.5,12243742.98,11853566.58,12006336,12573849.1,12753390,12543199.92,11627484,12028737,10867722,11864194.5,12307075.5,12119776.3,12650985,11995059,11835384,12153750,11756254.5,12046656,9852753,11566813.5,12684889.5,11947710,10712529,11389781.7,11547955.5,10608510,12507439.5,11220307.5,11341717.5,12042076.5,12899188.98,11755642.5,12397617,11881683
"20080104",10227363,8874825,9035274,7547929.5,8369499,10464636,7809322.5,9835779.54,9560926.5,10827031.5,9484411.5,9461124,8888451,10436052,9824488.26,8256328.5,8226631.7,9841584.6,9016539,8668065,9419146.5,9478006.5,8364037.5,8751353.94,10213570.5,9771331.5,9550188,9366154.5,10605030,8290354.02,8585844.86,9606969,9968801.22,9456658.5,10123602,7561813.5,10402129.5,7806403.5,9415659.74,9520737,7679283,8041347,10494529.5,8738194.5,10037680.5,9024744,11739760.5,10100067.9,9130155,9239577,9271102.5,8022928.5,8565873,9576457.5,9771568.5,9304488.4,7760336.92,9164704.5,8408220,9417680.88,8745372,9909948,9911487.6,8351830.5,9639267,8897221.5,7750011,9341082.2,9616725,9387994.02,8420088.2,8543608.5,8268117,9225979.42,9676095,9451862.5,9296308.5,10305573,10192260,7838745,10016416.5,9064158,9862522.5,9249706.5,9111938.8,10099836,8772046.5,10198971,9579600.14,8888847,8323156.5,8750788.5,7930803,9547063.5,10392277.5,10648549.5,9636445.5,9395091
"20080105",10321549.5,10044718.5,10643890.5,10009843.5,11265535.5,11317458,10601473.98,8799657,9131050.5,11799891,9821607,8827813.5,9692250,11035876.5,9299722.38,11107348.5,10639153.5,10341202.68,11021580,9119940,9438141,9638721,11244632.58,10543627.5,7060728,5978839.5,7319269.5,8687109,10104573,10057881,11573816.9,8883405,9606599.16,8867917.5,11122299,10246855.5,11258568,9244912.5,8646019.92,10765699.5,10939894.5,11777365.5,11294974.5,7529928,6463801.5,8255401.5,11762085,10203163.1,10216431,8021640,10397460,10700589,9835579.5,9750096,8483380.5,8447088,10368319.5,7303495.5,10531573.5,4801956,9132412.5,10355265,8227665.9,8287197,8881177.5,9498423,10418932.5,9521404.9,9875847,8333820.42,10319017.5,9639661.5,11190053.68,11208583.5,7543975.5,11315844,9973225.5,8885484,11109147,9222066,8216611.5,9001830,8130175.5,10498212,8215311,6202054.5,10879033.5,9979417.5,7485606,10621783.4,11517472.5,10376596.5,11084614.5,7591509,9135918,8476042.3,10499460,9103600.5
"20080106",10918905,9784592.16,11516748,11101404,11387575.5,11020186.5,11011428.48,9954069.18,10624546.5,11593133.1,9914427,10340547,9686094.38,10853698.5,9760022.68,10650588,11227548.4,10073332.5,10558665,9758958,9969235.5,9993241.5,11719423.5,11170276.5,8439793.5,7627431,8389018.5,9174414,8851948.5,11188647,11576940.54,8799241.5,10677398.52,9879372,10319734.5,10983426,11182584,10286310,9816576.2,10154890.5,11485410,12976141.5,10826103,9013716,8055834,8966898,11113206,10023042.2,9617803.5,8174010,10105822.5,12053580,11465508,10015197.84,8391159,9641148,11354956.5,9585928.5,10049605.5,7381128,9806656.5,10669692,9580555.8,10056112.5,9687535.5,9532880.86,10787643,11380860,11128411.5,8300500.92,11161627.2,10328320.5,12012594.22,11304837,7960502.96,10820862,10920519,9233679,10347702,10592854.5,8422893,9790507.5,9039523.5,9813060,8820163.5,8490682.5,11085547.5,9378384.3,9427459.5,11011057.5,11269233,11882832,11445091.5,8044695.42,9157378.5,8847407.92,10871044.5,9858156
"20080107",8577886.5,6906777,9582115.6,8094124.5,8457745.5,8186991,8288331.96,7672222.5,7775464.5,10070509.5,6461220,7742110.5,6112350,8979861,7539085.22,6975049.72,8227000.2,7040719.5,8247790.5,6029970,7303510.5,7389715.5,8489266.5,7567680,7206828,5772477,6909883.5,7564756.5,7003990.5,7007995.5,8849952.86,6601669.5,7724612.1,6613268.34,7541553,8435262,9303196.5,8332944,6717615.1,7410571.5,8946354,9733822.5,8186902.5,6915862.5,7453098,6919239,10300996.5,9600877.8,7402522.5,6193221,6744714,8698618.5,7880082,7307502,6279825,6603140.9,8953984.5,7572729,6981652.5,5269018.5,7365510,7237531.5,7486161.9,6023571,6544435.5,7034422.76,7428801,7745146.9,6693366,6810751.92,7767461.5,7432132.5,9539473.94,8249200.5,6656287.5,7312030.4,7024075.5,7394196,8685597,7201209,7033545,7135641,6591517.5,7234938,6821248.5,6330721.5,9896599.5,5656738.5,7617432,8001947.2,7197356.34,8977800,8239372.5,7347825,6630567,6941815.38,8245741.5,6588760.5
"20080108",10584660,9806727,11568918,9958776,11765904,11293929,11437444.98,7162787.04,8776596,11838624.6,8568894,8964277.5,7960432.88,10961844,8281741.18,11444289,11697642.1,9936122.34,11771907,9867454.5,9298264.5,9590388,11330572.5,9727488.54,6555765,8726620.5,5890018.5,6939753,9276270,9848570.52,11818101.86,7058019,9773414.16,7679644.5,9922302,10460638.5,11527242,8050264.5,7495676.78,10775350.5,11210403,12114648,10586997,7793382,6825493.5,5372250,11192314.5,11030455.5,10580749.5,7830456,9711678,11953992,8405394,10010722.5,8232805.5,8718063,12134973,5503884,9766431,6918376.14,7853058,10572904.5,6317987.7,8337855,7760455.5,6442798.36,8928562.5,8445001,8809180.5,6284878.5,11119618.3,7718517,11064814.5,10417425,6668812.34,10671529.3,9593466,7240896,11135981.34,8547969,7059831,8254960.5,8864754,10270065,5701365,6991305,12049767,10491918,6925810.5,10099077.7,9622236,11147895,10977202.5,5823468,6256527,5475610.38,10311112.5,6996315
"20080109",10994937,11287761.24,11229367.5,11322544.5,10578009,9764271,10688857.98,10894080.72,9909975,10574130,11244600,9394630.5,10908105,9371661,9622632,11272443,11063620.9,11117813.34,10697908.5,11854422,10664178,9507391.5,11252739,9743541.72,12383626.5,12625626,10816456.5,9899197.5,11781363,10082011.5,11280829.5,11431830,10304772.48,9923388,10078672.5,11098468.5,9422349,9894670.5,10701564,10139559,11061513,11733691.5,10101988.5,12085885.5,12481344,10757617.5,10085551.5,11764391.8,9019068,11234721,11342860.5,10848114,9782728.5,9953745,11014408.5,9732092.2,11461070.96,9417486,11078572.5,11773604.82,10245988.5,11890540.5,9968377.2,10135654.5,10535973,10427660.86,10466859,10416991.6,10348089,10040541,10253598,9707563.5,11246001,10682067,10885170,9564484.9,10760902.5,10410450,10200343.5,10380564,11503639.5,10074615,11942512.5,11355957,10858009.4,12447274.5,11011683,10706139,10193554.5,11328595.5,10665705,11427277.5,10917798,10418226,11508649.5,10969497,10358296.5,10412806.5
"20080110",10938010.5,8957507.64,11930868,11593125,11686602,11407216.5,11382696.96,8511545.52,8840235,12582309,8218999.5,8530702.5,8736954,9785146.5,9070348.14,9653889,12314838.2,9472385.94,12369729,8921518.5,8656321.5,9508831.5,12227808,10122156.66,6825888,9058858.5,6690069,8420737.5,8557597.5,11091688.5,12076576.62,7222120.5,9751396.08,9147517.5,9425995.5,11608569,12014994,9859188,7625526.64,10871043,12036208.5,12293880,11680360.5,8718509.92,8991976.5,6909033,12272925,10823004,10022233.5,8783635.5,8799091.5,11368509,8418994.5,9890587.5,7457296.5,8667333,11551332,7342536,9981214.5,7298278.38,9507814.5,10150456.5,8042637.6,7817478,8033896.5,8205275.72,9272211,9185255.7,8585427,6922323,11421628.5,9064957.5,12029470.5,10210074,7798767,9428694.6,9168883.5,8417923.5,12108999,8908938,8299930.5,9106173,9427102.5,10043526,6936496.5,6523642.5,11716443,8341623.9,7166941.5,10263018,10495306.5,11915419.5,11743573.5,6820298.34,7438651.5,6854824.5,11132442,8480334
