"Date","ACME","ADAX","ALTU","APAC","ARNE","BEAV","BESS","BIXB","BLAC","BOIS","BOWL","BREC","BRIS","BUFF","BURB","BURN","BUTL","BYAR","CAMA","CENT","CHAN","CHER","CHEY","CHIC","CLAY","CLOU","COOK","COPA","DURA","ELRE","ERIC","EUFA","FAIR","FORA","FREE","FTCB","GOOD","GUTH","HASK","HINT","HOBA","HOLL","HOOK","HUGO","IDAB","JAYX","KENT","KETC","LAHO","LANE","MADI","MANG","MARE","MAYR","MCAL","MEDF","MEDI","MIAM","MINC","MTHE","NEWK","NINN","NOWA","OILT","OKEM","OKMU","PAUL","PAWN","PERK","PRYO","PUTN","REDR","RETR","RING","SALL","SEIL","SHAW","SKIA","SLAP","SPEN","STIG","STIL","STUA","SULP","TAHL","TALI","TIPT","TISH","VINI","WASH","WATO","WAUR","WEAT","WEST","WILB","WIST","WOOD","WYNO"
20080101,14957898.2645468,12906267,13498102.797299,12847201.6402713,12081421.2175096,11780819.7300222,12578331.8798949,12129478.86,12174534.675832,11761045.6133477,13162379.7056032,12680401.459998,12305079.521421,13197582.1981972,12992498.44,13576719,13173926.6,11987042.76,12338247.8548208,13396189.5,12677547.8895332,13356570,12281361.965182,14039363.9888233,12367797,12452991,9451571.63901948,10443729.6145709,12449944.5,13831256.5440693,12350478.4134952,11133544.0151006,13792970.82,11854163.8439958,13010294.0936418,12828101.4234927,11623795.7147235,12964161.1442958,10995703.3228845,13969448.1053748,12588949.5,12515506.5,10694075.8786042,13575725.3540805,11832710.8673188,10142350.1917544,10942463.2284931,14323290.7,13200266.9595406,13425522.7911497,14484192.9545821,13090597.5,12996450,13446910.5,11692426.5,12607864.6475398,12875802,10250410.0662049,13198314,11970170.8771889,13031646,14803200.3515713,11319001.3955587,11623973.1809163,11712243,11952169.2087784,12673948.5,12504881.3,12703335.3801793,10865814.2244168,12131993.3249584,12082504.9707534,13330411.3547487,13924366.42,11040313.5,13694818.4,12719323.5,11667627.6091355,12264382.1082377,13326744.2081478,11649104.3633219,12919251,13087758.4311967,13280368.5,9664552.85417442,11029257.681341,13534356,13607134.5544465,10735525.3998351,14393250.9810028,13996829.335337,12832375.4960494,13312180.7286815,10368103.92,12216409.1369662,10802707.42,11464928.3953613,11792412.6364796
20080102,13824207.0520266,14742538.5,10583237.9458656,10265671.4159987,9797910.73841659,11308014.4381223,9766322.26221263,14174361.84,12223461.5239423,11339073.3838562,12982319.0464335,12374024.2666833,12333294.9116414,13636082.9221787,13245311.96,15006852,12967106,14243377.5,10300834.9640287,14404149,12573496.982969,13684432.5,9541655.36817924,13317594.9991558,13806421.5,13750173,10212725.8255391,11090637.5353382,14958082.5,12932278.0294128,9411254.19178893,11731145.7587439,13188326.22,12329596.2882302,13239479.5748917,10190946.0731214,10962062.7973481,12292550.6637879,11553348.7745647,13308977.1970946,12344835,12228531,10048252.1343085,13495856.6804446,12115681.8944526,11152963.2098862,10608372.8451776,16062597.4,12619254.878042,13326181.6800419,13689447.6092043,13193622,13776138,13875454.5,13132687.5,12508062.9686298,13379707.5,11394673.4791684,14201251.5,12521751.2785971,13517860.5,13647642.1254458,11931063.4487693,11735300.0383072,13001499,12083291.5608558,14808331.5,13761303.1,12652102.7442617,11467977.0148875,9841864.20831148,12024468.5345367,10854526.6806077,15735769.5,12965854.38,13695685.4,14025340.5,11941628.631267,11491119.5620563,12626724.9944049,12050315.022994,13174836,12874611.6409463,15030844.5,10705786.0717941,11476980.1596411,13799044.5,12921851.7030376,11784554.3868546,13462852.3734311,13074312.8726,10159218.9856013,11207101.4770109,13133692.5,12371685.3407431,13737756,10072136.0807756,12133796.0972702
20080103,10396255.5831737,12455278.5,9319378.62215663,8083084.31028263,9437075.03921751,11137663.5780735,8311458.67934177,11634826.5,9044849.55844813,12618299.6834818,9679311.21164992,9473658.63404597,9287053.10802227,11718902.2734947,12317261.96,11749341,11066246.6,11627424,9009960.50974777,11031331.5,9204363.807227,12136189.5,9145300.59238865,10168976.9078932,11551008,11261716.5,8760421.13495197,8492403.60931531,12535995,10136710.6873724,8749780.42443418,9103927.6992223,10936930.44,9457919.48129545,10862088.9010003,8200871.8372983,11753367.1495214,9413919.14011553,8909744.05871504,10486536.2592172,11252136,11041992,10785558.9682358,10001812.3482238,9659144.24444903,9345940.84958808,12505094.7067103,10991630,9901917.18539966,9753250.68657959,9846322.95329086,11701966.5,12974230.5,12105862.5,11644158,9818589.59603012,11122992,9345246.42598694,12114814.5,9495695.81921632,10844572.6,10077954.6036879,9273292.62284351,8842490.0164611,12243742.98,9130837.26150495,12006336,12573849.1,9494636.84371514,9200511.83295234,8630777.13197467,8914148.23467192,9533314.11208889,11864194.5,12307075.5,12119776.3,12650985,9016054.88442595,10889814.4971572,9542877.6591063,9647000.59173654,12046656,9601649.519276,11566813.5,8690629.50480708,9116574.63369287,10712529,9292849.48876816,9526618.03134857,9865103.9059107,10185496.4972008,8044972.88438724,9341713.21824861,12042076.5,9646727.26161424,11755642.5,9508835.95483963,9073827.49556758
20080104,6877763.99399532,8874825,5809517.22828194,5316712.65067787,6363194.22586665,8797465.28428626,5428318.57448721,9835779.54,6115217.18160807,10401486.0856735,6908482.96219875,6463980.32213113,6606331.08259917,8786851.66248807,9824488.26,8256328.5,8226631.7,9841584.6,5798969.12995324,8668065,6504869.05281655,9478006.5,6157563.41098875,6881561.46046023,10213570.5,9771331.5,7872509.13752181,6396005.3079925,10605030,6782276.64738772,5960332.08415491,7319688.3866863,9968801.22,6532739.93248715,7750427.73660524,5290524.69205941,9533768.285795,6440071.04498847,7021383.09412147,7012263.1386228,7679283,8041347,8859339.16587207,7990072.33986251,8404695.47067928,7584357.88871443,10335549.5103867,10100067.9,6434681.37697981,7521714.32782389,6839509.30774094,8022928.5,8565873,9576457.5,9771568.5,6794145.33037237,7760336.92,7350236.71698654,8408220,8202682.93019672,8745372,6735924.54429369,6742129.30683639,6447456.78762889,9639267,6702640.56057627,7750011,9341082.2,6403466.58452267,7000867.04851248,5737436.58481169,6307605.90517266,6133732.25061037,9225979.42,9676095,9451862.5,9296308.5,6287035.55734941,8485245.57314366,6617965.1584122,7771967.10641767,9064158,7061712.39950725,9249706.5,7439552.81972274,7847942.89949303,8772046.5,6600347.4564631,7157678.55391318,6512044.87010288,6971214.96271995,5711633.0764232,6024248.17267319,9547063.5,7903969.3013329,10648549.5,6430270.77171894,6258140.59052736
20080105,8847988.20422509,10044718.5,10086989.9466269,9584972.80662981,10108111.1603344,10155743.2859176,9995184.60078271,8799657,8493727.28490436,10711009.5195522,8314728.89369669,8376211.74081496,8053156.43015919,9695656.04228328,9299722.38,11107348.5,10639153.5,10341202.68,9844780.57691343,9119940,8486545.36473183,9638721,10206349.8908481,8913641.38199188,7060728,5978839.5,6545232.65863512,8008043.98987589,10104573,8737612.19383031,10401378.1650086,7531512.2002278,9606599.16,8836569.78658763,8772615.74345374,9572965.11894235,10448435.1602357,8398813.94765354,7605635.89445017,9245284.43915452,10939894.5,11777365.5,9983559.0834778,6744709.4667194,6120086.76181662,7581981.00475722,10555774.5192417,10203163.1,8601382.49627171,7577751.34804636,8052368.90673342,10700589,9835579.5,9750096,8483380.5,8721808.67907242,10368319.5,7768030.70267236,10531573.5,5820962.12168543,9132412.5,8967699.69255478,7892893.84509304,8168054.4150039,8881177.5,7839399.27614637,10418932.5,9521404.9,8567305.54140955,7641351.78444141,9725519.54032248,8488458.8848697,10079539.1132545,11208583.5,7543975.5,11315844,9973225.5,8141061.5855856,10283134.341838,8461688.10677509,6931774.27358381,9001830,7312493.56001626,10498212,7424981.81590882,5962580.83528218,10879033.5,7933283.64916093,7851175.16453107,8575409.85638487,9038835.71990243,9577625.74707779,9752546.62318185,7591509,7602328.85691932,8476042.3,9514811.24520781,8359724.44268158
20080106,8938543.37782823,9784592.16,9976572.51601013,9920589.66587417,9583767.8219509,8915398.13997167,9931010.9952963,9954069.18,7964108.87819528,9117322.43624891,8595676.78766066,7901280.34076456,8088145.20085782,8657997.35374288,9760022.68,10650588,11227548.4,10073332.5,9532388.21365628,9758958,8402412.24721622,9993241.5,9847973.14018328,8927984.63878388,8439793.5,7627431,7715754.94305436,7570942.73531755,8851948.5,8368365.24842119,10273250.7085511,7972629.5473953,10677398.52,7917435.91908248,7951295.73535737,9718755.70831178,8993546.06645253,8178746.26673672,7863694.39054238,8962632.47709542,11485410,12976141.5,8742925.19850296,8657086.01598871,8238227.02403942,7712864.51021174,8962723.11672417,10023042.2,7920728.14535864,8423564.28741694,8853687.48005562,12053580,11465508,10015197.84,8391159,8036459.41404143,11354956.5,7523482.54757367,10049605.5,7279714.51942344,9806656.5,9119614.15643637,7584355.31833939,8040899.57601588,9687535.5,8086125.33260224,10787643,11380860,8314029.96263693,7590001.88016435,9404142.85901288,8054550.77658375,9839884.3330924,11304837,7960502.96,10820862,10920519,7869429.09288864,9242524.36051886,8567770.82358258,7980076.30937339,9790507.5,8218197.3561985,9813060,7820658.9270754,7746889.37344024,11085547.5,8718065.49269112,7357805.03357565,8760047.4968602,8219555.86283735,10358210.1442104,9601616.84929707,8044695.42,8430045.04031407,8847407.92,8989911.89107034,7887940.37401456
20080107,6377679.680942,6906777,7229957.73283945,6773965.35511895,6717645.65503833,6230681.62926384,6966432.9095023,7672222.5,5122520.08344553,7093730.66283628,5061224.47415911,4998816.00701863,4604652.48613557,6031839.3035878,7539085.22,6975049.72,8227000.2,7040719.5,6899653.95323845,6029970,5102021.29326485,7389715.5,6941391.21208321,5767469.49656423,7206828,5772477,4145220.21504275,4468601.35525982,7003990.5,5310231.49825318,7535005.62007831,4527460.73495497,7724612.1,4803563.29222024,5250697.98053471,6625965.92526621,6579350.70469523,4907611.66755092,4416162.40371781,5876412.51188904,8946354,9733822.5,6255418.94107315,4706472.74608336,4445120.23651566,4310641.45594293,7177209.32874397,9600877.8,5245616.42240344,4139219.74264579,5435823.37240518,8698618.5,7880082,7307502,6279825,5239696.00148445,8953984.5,4213127.58690928,6981652.5,2681814.21435716,7365510,6537299.54348872,4295533.00745466,4738221.06198795,6544435.5,4606405.79682627,7428801,7745146.9,5053109.58214841,4237316.02332359,6523369.60826906,4894581.44049243,6944730.27927615,8249200.5,6656287.5,7312030.4,7024075.5,4523264.56740817,6498221.90489384,5171282.32792401,4185311.97450763,7135641,4445089.68314004,7234938,4424590.67540722,3954733.91479085,9896599.5,5367300.88657471,4105379.68477505,5410531.17594166,5195287.77440573,7250477.7523452,6523774.14276387,7347825,4251289.94711312,6941815.38,6341950.33446163,4684472.94831422
20080108,10466860.1749985,9806727,12250785.3243195,11413436.6152983,11574979.1153089,11287566.6602437,11988553.0317319,7162787.04,8813476.49336641,11114933.6522898,8197214.69458859,9169807.0825783,7747748.65372551,10735217.4588212,8281741.18,11444289,11697642.1,9936122.34,11308449.5025061,9867454.5,8436879.81744844,9590388,11685570.812694,9868452.29780202,6555765,8726620.5,4982066.13842965,7179062.46498073,9276270,9596292.3550139,12224948.6601051,6236142.35544973,9773414.16,8187492.35421626,9667059.30762149,11465514.5070451,11296146.3682769,9095390.09518757,6483552.30670379,10337060.3572269,11210403,12114648,10811307.2190927,7228220.55240808,5707045.96715293,5699591.2216289,10396213.5514413,11030455.5,9441348.97894086,7422024.06280008,8947814.69993269,11953992,8405394,10010722.5,8232805.5,9773614.78378226,12134973,5984025.47846247,9766431,5348160.93085591,7853058,10644894.9035516,7164176.79213051,7731370.76533126,7760455.5,7246809.68178887,8928562.5,8445001,8880233.84797991,6430743.2052373,11275745.2452424,8796511.03128776,11932294.0158797,10417425,6668812.34,10671529.3,9593466,7761199.47962682,11759409.3012664,9061812.43118144,6172716.39499607,8254960.5,7460581.91145224,10270065,5366166.34692414,5435661.10420432,12049767,8654769.10847463,6415583.0743707,9735425.94451156,10454749.0164613,11208195.396914,11437001.2495863,5823468,6652703.16170394,5475610.38,10035900.8938881,8131353.25831907
20080109,10386362.5939835,11287761.24,11240448.9285914,10893982.7407975,9627031.82634927,9201125.71368769,10453390.276306,10894080.72,8896899.19379821,10220573.6140609,11024056.8343355,8914031.59274713,10495304.0282397,8972429.40105767,9622632,11272443,11063620.9,11117813.34,9743044.97987453,11854422,10317251.7958293,9507391.5,10415656.0518783,10548189.7627649,12383626.5,12625626,10609169.3942091,9399696.17657333,11781363,9722838.13738788,10544803.7961971,10571879.861185,10304772.48,9451811.81696516,8394670.92488394,10622367.4462744,9733730.3172554,9567037.06228465,10263583.6484663,10133532.5481302,11061513,11733691.5,8949356.81409852,12161384.1371242,11759285.1349539,10425299.884089,10098457.6410755,11764391.8,8754823.23650771,11657952.4318994,11007466.0853945,10848114,9782728.5,9953745,11014408.5,9006497.72406587,11461070.96,10100205.856349,11078572.5,11935545.8874604,10245988.5,10306001.4983422,10045304.0998644,9848474.88947639,10535973,10492945.1551412,10466859,10416991.6,10143279.0469858,10250574.0355859,9977583.28213073,9258370.63201632,10862275.4850825,10682067,10885170,9564484.9,10760902.5,9938243.06703154,9364262.89382072,10016177.7966225,11323737.2910758,10074615,11200448.2996678,11355957,10393319.5762254,11397086.3355141,11011683,10615220.6695973,9971828.71609021,10438610.9289817,9504481.17971454,11727150.1264936,10680929.0471418,10418226,11568343.6875204,10969497,9205728.04551658,9883964.02679551
20080110,10615118.855207,8957507.64,12721207.9808946,12275843.7190801,11692218.7407367,11242286.4958937,12601196.8964543,8511545.52,9025031.50677001,11670792.7118419,9417966.43922105,9418016.61184588,8981469.20088084,10103503.7310769,9070348.14,9653889,12314838.2,9472385.94,11816706.9391793,8921518.5,9260531.5920684,9508831.5,12415615.6562937,10148990.4643664,6825888,9058858.5,7188537.78900195,7984756.10288139,8557597.5,10001739.6174962,12682815.6984476,7892626.93983322,9751396.08,8731353.2314329,9613413.79066098,12259725.3310226,11566023.958858,9674724.20296251,7963552.03989108,10200457.3045002,12036208.5,12293880,10937303.0177393,8799921.1709126,7680669.118052,7462164.53005167,11248383.9754099,10823004,9639269.92843846,9518972.22198989,9844975.81873475,11368509,8418994.5,9890587.5,7457296.5,9338071.01664505,11551332,7450809.04186927,9981214.5,8271064.95926266,9507814.5,10731329.0338613,8227372.14022443,8680588.48812416,8033896.5,8553504.65519822,9272211,9185255.7,9262014.00365144,7993347.28695941,11844596.8267182,9033438.10361861,12397382.9358379,10210074,7798767,9428694.6,9168883.5,8609506.63067407,11689120.8119833,9839156.8679145,8213206.28936635,9106173,9076078.32294096,10043526,7198528.07259391,7506559.8037657,11716443,9500628.11617432,7642507.5801478,10241794.9215966,10319125.4697214,12472452.3804648,12026172.5306116,6820298.34,9129557.4491989,6854824.5,10717583.3456044,8660004.45217438
