"Date","ACME","ADAX","ALTU","APAC","ARNE","BEAV","BESS","BIXB","BLAC","BOIS","BOWL","BREC","BRIS","BUFF","BURB","BURN","BUTL","BYAR","CAMA","CENT","CHAN","CHER","CHEY","CHIC","CLAY","CLOU","COOK","COPA","DURA","ELRE","ERIC","EUFA","FAIR","FORA","FREE","FTCB","GOOD","GUTH","HASK","HINT","HOBA","HOLL","HOOK","HUGO","IDAB","JAYX","KENT","KETC","LAHO","LANE","MADI","MANG","MARE","MAYR","MCAL","MEDF","MEDI","MIAM","MINC","MTHE","NEWK","NINN","NOWA","OILT","OKEM","OKMU","PAUL","PAWN","PERK","PRYO","PUTN","REDR","RETR","RING","SALL","SEIL","SHAW","SKIA","SLAP","SPEN","STIG","STIL","STUA","SULP","TAHL","TALI","TIPT","TISH","VINI","WASH","WATO","WAUR","WEAT","WEST","WILB","WIST","WOOD","WYNO"
"20080101",14957898.2645468,13229394.3966463,12605469.7103784,12847201.6402713,12081421.2175096,10881998.420775,12578331.8798949,10995822.008225,12174534.675832,10781132.0799023,12866032.039041,12680401.459998,11813245.0942791,12987796.3745554,11569832.2656728,14919731.1494206,12568328.6050333,13586642.9615128,12338247.8548208,13009895.0572333,12677547.8895332,13666580.5728921,12281361.965182,14189999.0115572,11711659.5474929,12611027.5960411,9451571.63901948,10443729.6145709,13902920.2555243,13831256.5440693,12350478.4134952,11133544.0151006,12738753.6423084,11354861.0721246,13010294.0936418,12828101.4234927,10822741.6505273,12964161.1442958,10995703.3228845,14326731.2349324,12417938.6928639,12855452.4404132,10694075.8786042,13037549.1124893,11832710.8673188,8637703.74011547,10942463.2284931,15350105.124547,13200266.9595406,13030213.0458929,14484192.9545821,12721336.948694,12560923.5325656,12567783.697473,11611766.8722336,12238112.045169,13342543.4176734,9136841.13671407,14390965.5163788,11419043.1050819,11429784.4226975,14803200.3515713,10203201.1869517,11623973.1809163,12045092.3029892,10758201.202888,13095114.8925942,12107332.572226,12671185.8949239,9636630.88411793,12131993.3249584,12082504.9707534,12659537.5787976,14376047.411531,10028604.9137782,13346808.964748,13065611.9707109,10842206.7529729,11575053.6890139,13326744.2081478,10779800.9645952,12059970.989878,12392886.3907183,14298105.3676937,9664552.85417442,11029257.681341,12790592.7846051,13607134.5544465,9621749.29611346,14393250.9810028,13996829.335337,12832375.4960494,12482273.6094086,9393789.66050027,10841489.1044141,10533313.2382184,11464928.3953613,11243046.4582612
"20080102",13824207.0520266,12969099.1880985,9399509.67352053,10265671.4159987,9797910.73841659,10226454.3789681,9766322.26221263,11509219.4569082,12223461.5239423,10341410.360098,12724281.9575397,12374024.2666833,11942537.1760382,13348258.7434351,11475404.4299559,13969328.0696979,9825120.08942162,12846546.9429874,10300834.9640287,12579183.4340082,12573496.982969,13134701.6519562,9541655.36817924,13116861.8845852,11963431.3996377,12660085.7642247,10212725.8255391,11090637.5353382,13547124.0979816,12932278.0294128,9411254.19178893,11731145.7587439,12785664.1750302,11737648.7153856,13239479.5748917,10190946.0731214,9930821.40433167,12292550.6637879,11553348.7745647,13321564.574943,9493210.26401697,9429194.73243709,10048252.1343085,12944633.0696759,12115681.8944526,10017300.9561704,10608372.8451776,14352431.6309489,12619254.878042,12690161.816865,13689447.6092043,9434128.58477886,12524771.8030855,12740384.7490372,11568309.5433169,11915049.4329549,10138307.9290719,10434406.40788,13208413.9820598,11906053.3524689,11524593.2035076,13647642.1254458,10912760.7917168,11735300.0383072,12121365.1948388,11038161.3680416,12532154.4517568,12197744.5272585,12495978.9372319,10534398.6482379,9841864.20831148,12024468.5345367,9661455.29438304,13637769.8399719,10593427.8466246,12855650.1769313,12779131.1853926,11233268.209683,10670074.300938,12626724.9944049,11226131.416517,11878558.621777,12123634.8655148,13606961.9966168,10705786.0717941,11476980.1596411,9478166.08178532,12921851.7030376,10630567.2806979,13462852.3734311,13074312.8726,10159218.9856013,9940517.81984947,10743755.0581698,11090340.4284266,10855398.0501249,10072136.0807756,11519165.9763294
"20080103",10396255.5831737,9283937.55218009,8327183.05035341,8083084.31028263,9437075.03921751,10464509.3862669,8311458.67934177,8742338.82418707,9044849.55844813,12030568.9544547,9276668.42398994,9473658.63404597,8899490.27941845,11435919.9304741,8386525.73901704,10182576.7534702,8698299.58920545,9433426.07521746,9009960.50974777,9122200.41745854,9204363.807227,10689704.7443413,9145300.59238865,9903341.67788772,9237804.55976579,9377880.14587041,8760421.13495197,8492403.60931531,9878990.22793175,10136710.6873724,8749780.42443418,9103927.6992223,10071585.4841722,8671427.47427149,10862088.9010003,8200871.8372983,11110035.7102375,9413919.14011553,8909744.05871504,10492830.7105064,8254562.20328222,8877936.10392641,10785558.9682358,9623146.10682643,9659144.24444903,8469796.46179397,12505094.7067103,10856664.1688731,9901917.18539966,9114807.49708945,9846322.95329086,8286495.67244581,9167776.86961984,10402278.4942752,8751000.9180205,9191807.40639499,7826435.73451953,8620988.15066887,9819290.82096721,9152601.26347582,8601947.66304254,10077954.6036879,8452766.69257008,8842490.0164611,8922857.87554322,8299700.52288021,9789224.49290557,8893240.91063343,9164805.94244999,8433655.17507587,8630777.13197467,8914148.23467192,8481569.12970038,10648079.4968256,8643488.7791061,10629756.8374007,9365985.76599282,8412974.25438635,10325128.6623895,9542877.6591063,9057431.55316962,8814721.01377326,8954126.35978016,9934411.64827917,8690629.50480708,9116574.63369287,8245173.72470968,9292849.48876816,8515229.61480065,9865103.9059107,10185496.4972008,8044972.88438724,8429714.4323319,9105398.74866702,8906959.83651138,9278816.6900719,9508835.95483963,8442543.21473787
"20080104",6877763.99399532,6640706.82962179,5526444.89699186,5316712.65067787,6363194.22586665,8629126.81795371,5428318.57448721,6772011.8999312,6115217.18160807,10041058.1864474,6725358.5570115,6463980.32213113,6528187.16835963,8401889.72646677,5777864.27171406,6990801.26348012,5714190.76939133,6623590.24269905,5798969.12995324,6746080.47107328,6504869.05281655,6912976.58578664,6157563.41098875,6590452.94850561,7835695.35546955,7481504.8060248,7872509.13752181,6396005.3079925,7359576.41702357,6782276.64738772,5960332.08415491,7319688.3866863,7077365.29812449,6118315.59114407,7750427.73660524,5290524.69205941,9253924.94492192,6440071.04498847,7021383.09412147,6908587.07065333,5633323.33717206,5908172.62812082,8859339.16587207,7693607.9017248,8404695.47067928,7615178.10041313,10335549.5103867,7392030.79095884,6434681.37697981,7153748.65649841,6839509.30774094,5347246.54537744,6408541.33457949,7595469.25764212,6943158.61273037,6161793.03803209,4822411.35586547,7355141.45319716,6246060.3939201,8022674.96878874,5959077.45488376,6735924.54429369,6651285.56445921,6447456.78762889,6629767.58534279,6424758.42093232,6722591.7149312,6393215.56003985,6285540.55276813,6959638.33999644,5737436.58481169,6307605.90517266,5677847.79851462,7337473.12816409,7645312.06612433,7002755.16085079,6629121.98445454,6270354.71448089,8418862.50821397,6617965.1584122,7675016.09794331,6109527.02598706,6822491.61992889,6919718.29242115,7439552.81972274,7847942.89949303,5516059.48640584,6600347.4564631,6963665.94641878,6512044.87010288,6971214.96271995,5711633.0764232,5615551.8341121,8094366.44143038,7987070.3350077,8491572.05498158,6430270.77171894,6148184.47076689
"20080105",8847988.20422509,8230304.84100316,10129929.5630615,9584972.80662981,10108111.1603344,9950500.3142382,9995184.60078271,7811682.6356839,8493727.28490436,10445161.4619232,8258445.84447524,8376211.74081496,8034590.42330645,9099887.73029317,8338906.90772601,8361593.67343222,10107201.2495091,8288192.93995405,9844780.57691343,7469946.25020468,8486545.36473183,8466066.28577256,10206349.8908481,8803415.03922908,6483114.53465286,5951637.24858875,6545232.65863512,8008043.98987589,7733381.73639994,8737612.19383031,10401378.1650086,7531512.2002278,8436167.7841527,8595611.86698744,8772615.74345374,9572965.11894235,10417608.1659751,8398813.94765354,7605635.89445017,8955185.8499133,10099145.7061504,10732318.6414386,9983559.0834778,6504958.45831782,6120086.76181662,7436787.95497336,10555774.5192417,9012558.05408071,8601382.49627171,7641309.91455053,8052368.90673342,10248402.7959614,8589964.15511927,8690622.16867986,6731497.16687309,8229818.68934037,9852012.59515848,7490846.19274468,8727455.81571148,5601420.39140142,8743932.47360072,8967699.69255478,7931117.84178229,8168054.4150039,7971774.36208769,7612210.56714315,8852232.47539523,8513868.14403392,8478970.48776199,7488289.86450776,9725519.54032248,8488458.8848697,10279428.3913424,9661478.07103802,6444239.84025569,8944753.19542863,8476242.4907441,8011081.94635953,10226396.7820119,8461688.10677509,6774610.60633335,8277473.04163881,7094569.84772439,8462015.48006843,7424981.81590882,5962580.83528218,10315119.515187,7933283.64916093,7672449.85195949,8575409.85638487,9038835.71990243,9577625.74707779,9762358.86751599,7305577.70146274,7624468.84544805,7678042.07570391,9514811.24520781,8316063.46687334
"20080106",8938543.37782823,8674855.51481661,10258771.0399324,9920589.66587417,9583767.8219509,8969917.87211905,9931010.9952963,7915600.6603149,7964108.87819528,9054482.70313057,8539223.99057887,7901280.34076456,8095655.69858227,8131437.02633357,7853549.10114287,9059909.16099835,9857995.62101948,8801948.15245023,9532388.21365628,8569259.28171097,8402412.24721622,8077076.44198942,9847973.14018328,8755936.21498761,8286686.80293342,7833294.92904021,7715754.94305436,7570942.73531755,8881272.14725534,8368365.24842119,10273250.7085511,7972629.5473953,7814605.04586962,7798983.64975765,7951295.73535737,9718755.70831178,9194789.42683041,8178746.26673672,7863694.39054238,8557864.48454756,10259841.7201472,10641397.7664066,8742925.19850296,8378781.12823801,8238227.02403942,7767004.18119782,8962723.11672417,9123579.49269384,7920728.14535864,8434619.52233556,8853687.48005562,10277995.8398636,8319543.1456308,7937076.93108574,7996733.16677654,7568323.72484774,10167992.226087,7525357.52384919,8470134.99417171,7128138.85098313,7922490.65628585,9119614.15643637,7714191.30828786,8040899.57601588,8224420.35826216,7955105.54396224,8968954.9433054,8145331.17198419,8186555.21547341,7574218.14850873,9404142.85901288,8054550.77658375,10262815.9118705,9864016.56206411,7846167.59163645,8246316.41165427,8591682.181757,7808999.27822828,9461655.34743528,8567770.82358258,8000609.85462855,7983182.24214782,8228752.93516145,9070308.35366252,7820658.9270754,7746889.37344024,10576096.7845908,8718065.49269112,7535828.8576374,8760047.4968602,8219555.86283735,10358210.1442104,9705906.56981378,7743280.55491831,8542583.40326574,8411661.0287264,8989911.89107034,7996041.30171859
"20080107",6377679.680942,5245362.24884628,7552212.93426547,6773965.35511895,6717645.65503833,6276135.7690187,6966432.9095023,4537262.82536776,5122520.08344553,7157582.78535845,5099610.23782973,4998816.00701863,4706715.58119765,5567641.48120904,4807112.05489075,5784016.32672107,6948477.29946677,5399558.21338005,6899653.95323845,5010044.15634997,5102021.29326485,5369404.66900221,6941391.21208321,5643587.63366614,4502857.8719121,3929273.35037825,4145220.21504275,4468601.35525982,5427679.79396868,5310231.49825318,7535005.62007831,4527460.73495497,5238618.64637002,4747099.20919094,5250697.98053471,6625965.92526621,6821692.4211624,4907611.66755092,4416162.40371781,5509784.15188879,7341075.72917745,7911668.66095587,6255418.94107315,4543767.86876079,4445120.23651566,4489114.6191675,7177209.32874397,6998877.47932208,5245616.42240344,4219285.90572408,5435823.37240518,7477888.91047209,5045555.86919366,5208252.93684734,4394146.0437543,4867888.18301727,7089756.24074419,4265436.3622287,5416489.22503187,2742674.92290761,4916823.18827301,6537299.54348872,4599710.13627949,4738221.06198795,4832431.18910296,4603968.43512215,5424516.04039104,4991312.61357568,4953778.094709,4363101.27616511,6523369.60826906,4894581.44049243,7425965.38897952,6336979.24225928,4243497.27018693,5729338.47540306,5194345.33521499,4540923.58574171,6763464.10217402,5171282.32792401,4417794.29285846,4775742.60751638,4606070.54129177,5582848.84428114,4424590.67540722,3954733.91479085,7722990.36988099,5367300.88657471,4406667.3001598,5410531.17594166,5195287.77440573,7250477.7523452,6711262.96864293,4495569.13275303,4342874.87777512,4923162.76677255,6341950.33446163,4806514.75863909
"20080108",10466860.1749985,8402763.86003367,12209474.3746349,11413436.6152983,11574979.1153089,10729745.80692,11988553.0317319,6887804.85191878,8813476.49336641,10383330.9854756,8145247.37884575,9169807.0825783,7588244.17836167,9843757.07122834,8614989.89412267,9525505.70103241,11927911.8513634,8997129.41117409,11308449.5025061,8111462.90973196,8436879.81744844,9599952.22090672,11685570.812694,9890952.98007741,6314945.70939023,6348116.37576115,4982066.13842965,7179062.46498073,8019758.44307493,9596292.3550139,12224948.6601051,6236142.35544973,9578628.83491283,8047111.30512576,9667059.30762149,11465514.5070451,11025036.5019549,9095390.09518757,6483552.30670379,10108685.8692759,11914099.9686304,12829896.6250271,10811307.2190927,6991951.16327127,5707045.96715293,4902762.46419987,10396213.5514413,10795491.5194882,9441348.97894086,7690093.50512188,8947814.69993269,12479859.9725934,8835165.4918898,9597783.20656137,6748293.90666019,9257774.31979383,12317209.139726,5425016.67299891,10108970.6272859,5402099.22442644,8515204.17430098,10644894.9035516,6845765.60020884,7731370.76533126,7601814.59119711,6768017.0813592,8555978.72856641,8718977.23199746,8778783.04089508,5865446.79175699,11275745.2452424,8796511.03128776,12278134.6726642,9610989.91112942,5509765.40328825,9613542.87623922,8623778.43911536,7314801.59462999,11308339.6651534,9061812.43118144,6000210.17361437,8424413.62124454,7477707.67458967,9311209.0558692,5366166.34692414,5435661.10420432,12404840.6605432,8654769.10847463,6116590.87562212,9735425.94451156,10454749.0164613,11208195.396914,11508179.5773756,4870841.30133765,6178454.11571866,4985481.13030881,10035900.8938881,8004736.91988369
"20080109",10386362.5939835,10738223.8382026,11012043.1163177,10893982.7407975,9627031.82634927,9022197.79755344,10453390.276306,10018445.2487388,8896899.19379821,9994386.51696889,10584123.817703,8914031.59274713,10004403.6079953,8380576.07521749,9096714.58260959,11042883.1498318,10345262.4033195,10496476.6061222,9743044.97987453,10774653.8419685,10317251.7958293,8495034.16125833,10415656.0518783,10107388.5578207,11385455.6507013,11559434.5088002,10609169.3942091,9399696.17657333,11357637.9566365,9722838.13738788,10544803.7961971,10571879.861185,8493121.49289828,9161671.80107202,8394670.92488394,10622367.4462744,9684574.22618624,9567037.06228465,10263583.6484663,9719391.13699172,10840313.0897783,11403451.5165479,8949356.81409852,11676217.5603644,11759285.1349539,10094818.5645015,10098457.6410755,11020752.0047324,8754823.23650771,11197749.1052639,11007466.0853945,10868894.8870566,9612861.48446984,8097027.84360965,10624229.2826742,8342333.75633228,11045388.9391361,10051273.0925978,9851021.26800522,11594420.0851698,8709419.1035669,10306001.4983422,9718658.95192502,9848474.88947639,10342043.7581037,9848837.85107131,10731269.3319269,9602476.36497535,9827057.37826498,9837337.4116888,9977583.28213073,9258370.63201632,10734236.2562029,11697406.1561716,10697191.3572714,8697988.48640954,10414535.4825402,9582995.51291374,9173615.29060078,10016177.7966225,10792060.0354288,9417420.37735837,10691109.6968575,10991547.4963755,10393319.5762254,11397086.3355141,11356344.8265722,10615220.6695973,9771007.18678348,10438610.9289817,9504481.17971454,11727150.1264936,10419469.0684241,10725499.1584764,11186506.3560243,10678154.1879336,9205728.04551658,9444615.45237061
"20080110",10615118.855207,9258933.73834868,12897130.4633305,12275843.7190801,11692218.7407367,11001498.3047984,12601196.8964543,8121122.7193233,9025031.50677001,11302644.387237,9168553.13062038,9418016.61184588,8578881.50839306,9657777.06075709,8937999.07658758,10076398.7452846,12502542.2841338,9786174.47024303,11816706.9391793,9066165.98257671,9260531.5920684,9705164.11687145,12415615.6562937,10271692.729951,8031855.12780236,8033626.85629879,7188537.78900195,7984756.10288139,9404792.98023111,10001739.6174962,12682815.6984476,7892626.93983322,9455542.72242039,8607093.81870915,9613413.79066098,12259725.3310226,11500214.9245748,9674724.20296251,7963552.03989108,10222403.6973607,12719177.8508851,13532736.2138089,10937303.0177393,8458216.9594041,7680669.118052,6691411.15082094,11248383.9754099,10930529.7675283,9639269.92843846,9626061.00839583,9844975.81873475,13062863.8689857,9117621.25665266,9573793.0581379,8197883.39243109,9157671.25569167,13087051.0790738,7020130.0419319,10344743.6502155,7983809.05777693,8826801.20836907,10731329.0338613,7911875.56510993,8680588.48812416,8733554.87427621,7959956.9034527,9694808.13799057,9068523.13054419,9278261.98614554,7326416.97834677,11844596.8267182,9033438.10361861,12889953.6151665,10555470.9212231,7418460.2967596,9611626.66105977,9443306.10217216,8255563.80395639,11392438.8297063,9839156.8679145,7764891.17422909,8963314.909026,8756829.92362743,10042574.0808633,7198528.07259391,7506559.8037657,13204436.7460108,9500628.11617432,7445360.6953106,10241794.9215966,10319125.4697214,12472452.3804648,12258833.1552879,6985886.25364585,8765037.76681096,7026904.79708125,10717583.3456044,8571128.72496174
