"Date","ACME","ADAX","ALTU","APAC","ARNE","BEAV","BESS","BIXB","BLAC","BOIS","BOWL","BREC","BRIS","BUFF","BURB","BURN","BUTL","BYAR","CAMA","CENT","CHAN","CHER","CHEY","CHIC","CLAY","CLOU","COOK","COPA","DURA","ELRE","ERIC","EUFA","FAIR","FORA","FREE","FTCB","GOOD","GUTH","HASK","HINT","HOBA","HOLL","HOOK","HUGO","IDAB","JAYX","KENT","KETC","LAHO","LANE","MADI","MANG","MARE","MAYR","MCAL","MEDF","MEDI","MIAM","MINC","MTHE","NEWK","NINN","NOWA","OILT","OKEM","OKMU","PAUL","PAWN","PERK","PRYO","PUTN","REDR","RETR","RING","SALL","SEIL","SHAW","SKIA","SLAP","SPEN","STIG","STIL","STUA","SULP","TAHL","TALI","TIPT","TISH","VINI","WASH","WATO","WAUR","WEAT","WEST","WILB","WIST","WOOD","WYNO"
"20080101",14582857.6400352,13631838.3298612,13498102.797299,13546317.6198552,12828062.78742,11780819.7300222,13300145.7777487,11758058.1028318,12259223.2426055,11761045.6133477,13162379.7056032,12712311.183643,12305079.521421,13197582.1981972,11971482.1941243,14607017.8316882,13359605.707274,13847351.5014734,13163643.3984329,13539368.5755092,12924271.1348793,13609141.5382324,13311457.0881509,14039363.9888233,12720973.4752382,13239016.1216003,10656148.8080611,11386588.9519794,14187655.9385485,13719128.9696719,13072929.4219711,12058792.6454002,13077765.6982277,11854163.8439958,13080793.4315453,13516448.6619395,11623795.7147235,12785218.8820704,11804291.3983831,13969448.1053748,13320108.6818544,13857999.7625186,11343018.3381444,13575725.3540805,12451463.5498546,10142350.1917544,11863431.5532877,14877131.2576445,13115404.9162534,13425522.7911497,14429838.8847539,13651807.1061829,12685970.1860149,12825899.0374253,12463214.4289091,12607864.6475398,13822111.900502,10250410.0662049,13856259.9675452,11970170.8771889,12088593.6920003,14488160.3792459,11319001.3955587,12193169.4690121,12538632.2382846,11952169.2087784,13171292.1419221,12312692.0504852,12703335.3801793,10865814.2244168,12794581.7503696,12280621.3505118,13330411.3547487,14524850.3660219,11010485.5934794,13283862.4166627,13326977.6416921,11667627.6091355,12264382.1082377,13016295.376459,11649104.3633219,12217567.5782722,13087758.4311967,14438390.119432,10682761.5370975,11976662.3706381,13809586.6568842,14069105.8675901,10735525.3998351,14298263.1521506,13729439.3856746,13774751.6788025,13312180.7286815,10426933.600407,12216409.1369662,11404481.9750431,12138461.5750042,11792412.6364796
"20080102",13713945.7019494,13418402.9816934,10583237.9458656,11416431.7555627,10970891.9133395,11308014.4381223,11061578.1749024,12220159.976913,12420647.6629539,11339073.3838562,12982319.0464335,12662865.1037253,12333294.9116414,13636082.9221787,11968745.0439745,13754093.0833524,11015242.4399389,13240169.3945057,11382690.485271,13288080.7491122,12752625.6144672,13271574.66661,10898221.4998621,13317594.9991558,12942354.4483969,13430204.6561723,11339626.8544744,11915000.2158868,13942737.1821628,13176048.471117,10469017.6932293,12421473.5929329,13250648.4498785,12329596.2882302,13439400.7116771,11343774.0778537,10962062.7973481,12512332.9386308,12256435.9795964,13308977.1970946,10895651.6545745,11006299.0840852,10839823.3206028,13495856.6804446,12676794.5257665,11152963.2098862,11413298.054328,14200816.704042,12872146.7867557,13326181.6800419,13705204.5119386,10881209.4911264,12940596.2983941,13183831.5026885,12391551.6942712,12508062.9686298,11112316.3074262,11394673.4791684,13221716.4248833,12521751.2785971,12317047.9254374,13674236.6857248,11931063.4487693,12265081.549418,12593954.5551327,12083291.5608558,12768364.4628741,12598540.3991722,12652102.7442617,11467977.0148875,10906343.8391447,12454076.376949,10854526.6806077,13976455.7758302,11608274.3218714,12965828.688698,13070866.6578648,11941628.631267,11491119.5620563,12596389.1600626,12050315.022994,12179553.1550788,12874611.6409463,13820640.3087162,11602594.7666111,12340342.557466,10913720.6170578,13441551.9893761,11784554.3868546,13712886.0673581,13245953.1822215,11553515.9825997,11207101.4770109,11520819.8614263,12371685.3407431,11756402.9093337,10837725.3064199,12133796.0972702
"20080103",10563967.7618702,9815270.31021743,9319378.62215663,8956694.58027198,10113419.8695197,11137663.5780735,9345015.48430384,9399186.3337696,9580570.4357712,12618299.6834818,9679311.21164992,9913675.72779602,9287053.10802227,11718902.2734947,9063050.34600841,10135204.3175635,9717096.65595319,9952243.24552046,10031808.5313854,9687363.57149152,9372286.2868717,11073170.3132614,10116714.2566251,10168976.9078932,9865114.16509662,10074127.195146,9491209.1029398,9359299.77538873,10312657.7433594,10338216.4137955,9667067.17751488,9757232.62163752,10585805.6984654,9457919.48129545,11197295.0559053,9072912.16047933,11753367.1495214,9771582.38075346,9570155.38458758,10486536.2592172,9441699.58164179,10139109.5166234,11381168.3574692,10001812.3482238,10113947.0843286,9345940.84958808,12781827.9472765,10917297.4382586,10395565.0924811,9753250.68657959,10021342.4105881,9443503.69217293,9770666.66729691,10961554.0114309,9330463.39670458,9818589.59603012,8906257.3422622,9345246.42598694,10151979.6259494,9495695.81921632,9560254.16635242,10279681.6587645,9273292.62284351,9298876.47151908,9468926.61769841,9130837.26150495,10096968.0243254,9329749.3170553,9494636.84371514,9200511.83295234,9506969.87693628,9548054.53760143,9533314.11208889,10924780.8408293,9624064.93628584,10841691.1703413,9699592.92649749,9016054.88442595,10889814.4971572,9621126.30873355,9647000.59173654,9304891.74199468,9601649.519276,10362203.0826967,9502682.92453813,9586898.92236834,9340924.89939265,9762356.22756797,9526618.03134857,10163243.1601653,10479000.2292112,9198309.38359057,9341713.21824861,9685571.03038324,9646727.26161424,9831111.33845478,10107315.7118761,9073827.49556758
"20080104",7370771.62903948,6919408.41392544,5809517.22828194,5779817.50936155,6655216.9148029,8797465.28428626,6011699.17277617,6873368.32610795,6538877.89441775,10401486.0856735,6908482.96219875,7031721.63928415,6606331.08259917,8786851.66248807,6095908.41610206,7241744.2593266,6185123.01040829,6969741.66672944,6478798.06627329,7126856.92000377,6627580.54506728,7445720.94343993,6487510.04650007,6881561.46046023,7933391.75212509,7954814.67108327,7976470.91612334,6635008.16241053,7758398.81340325,6954680.95760659,6276712.13787104,7421926.08045556,7629355.32487536,6532739.93248715,8232923.96003902,5742826.08418917,9533768.285795,6768641.69921342,7284879.2144632,7012263.1386228,6157292.64320926,6531298.42595898,9087581.57347597,7990072.33986251,8584313.3735516,7584357.88871443,10383577.7555194,7698870.92661519,7040328.28016069,7521714.32782389,7087356.79787501,5805556.59188785,6779493.48194525,8102226.70875433,7116037.16109883,6794145.33037237,5483286.40216657,7350236.71698654,6691210.41486146,8202682.93019672,6461649.97215337,7130456.61708893,6742129.30683639,6492580.99504107,6843639.51598551,6702640.56057627,7010801.03290542,6628007.32386732,6403466.58452267,7000867.04851248,6197287.33660348,6694619.93807473,6133732.25061037,7660768.65689195,7898569.16145926,7300150.60369995,6819448.0338089,6287035.55734941,8485245.57314366,6761527.95878735,7771967.10641767,6355568.55208479,7061712.39950725,7303733.1680921,7554479.80375273,7872078.91565384,5974578.15271439,6994907.19018509,7157678.55391318,6975042.38197917,7378344.80454712,6277448.78515879,6024248.17267319,8041388.07828785,7903969.3013329,8366737.67427538,6945513.45038238,6258140.59052736
"20080105",9156148.47114857,8192736.02396489,10086989.9466269,9430232.14558876,10117932.7777705,10155743.2859176,9949713.60955538,7844277.58951427,8603986.95803206,10711009.5195522,8314728.89369669,8843346.19803098,8053156.43015919,9695656.04228328,8324991.35381434,8669280.90649306,9996254.73171484,8283587.86931691,10011600.8804476,7419462.67379875,8505686.40146642,9059830.91427617,10237081.5169962,8913641.38199188,6497784.85166269,6154977.10585114,6934246.97313043,8200101.22126412,7851645.71538653,8913652.09442891,10396849.7904572,7606225.54205734,9185413.66574501,8836569.78658763,9507421.86758925,9574784.77025965,10448435.1602357,8642285.05470952,7815629.12726854,9245284.43915452,9943724.31737652,10501162.2372837,10083895.372933,6744709.4667194,6489506.2243792,7581981.00475722,10706592.7908122,9174961.73334422,9053575.02944432,7577751.34804636,8132522.99545356,10039219.9848501,8647718.61667633,9326663.19145465,6896671.21421643,8721808.67907242,9789548.61978,7768030.70267236,8901212.49346792,5820962.12168543,9119373.19414087,9112050.75916949,7892893.84509304,8364334.73772105,8058347.53277573,7839399.27614637,9151505.09297613,8634245.57468714,8567305.54140955,7641351.78444141,9748719.45003437,8581708.04108664,10079539.1132545,9729322.15530772,6772979.56265098,9414523.36128604,8613638.29499666,8141061.5855856,10283134.341838,8502052.01146805,6931774.27358381,8394631.7043508,7312493.56001626,8593293.53764469,7500548.45241875,6228423.46608315,10151539.3904285,7996620.81572976,7851175.16453107,8612482.66835864,9319062.01536894,9507782.97581409,9752546.62318185,7212479.21060003,7602328.85691932,7450543.94889884,9963250.99644653,8359724.44268158
"20080106",9403067.98761111,8635138.63309592,9976572.51601013,9699682.1865182,9624302.34391924,8915398.13997167,9823489.36589249,7830676.58723758,8067965.75020932,9117322.43624891,8595676.78766066,8191268.04915589,8088145.20085782,8657997.35374288,7791784.90310009,9463500.19374797,9601050.84263179,8705694.6947069,9538763.93690686,8519579.90757414,8640858.72281555,8659795.13704934,9664910.99020127,8927984.63878388,8137018.56013486,7912229.20142461,7846941.2603879,7641537.89187519,8941654.05977132,8728788.38382003,10021309.5775965,7954681.47036718,8593039.02386745,7917435.91908248,8643685.53471726,9673507.42924916,8993546.06645253,8108863.20559449,8009227.3197925,8962632.47709542,9787432.47498919,10152044.0109625,8593950.48423967,8657086.01598871,8408028.24012389,7712864.51021174,9058334.58969424,9441163.14222678,8452016.91139094,8423564.28741694,8898573.95431686,9783359.89202442,8099523.16750623,8514118.45849271,8034051.92025386,8036459.41404143,9963057.43894911,7523482.54757367,8729611.59145345,7279714.51942344,8170075.98146393,9357275.77072581,7584355.31833939,8192044.58757685,8241587.10707416,8086125.33260224,9229354.66751083,7969391.6406515,8314029.96263693,7590001.88016435,9370959.59971069,7888853.06299455,9839884.3330924,9954263.61314993,7736411.99397626,8698631.87477523,8816117.75442027,7869429.09288864,9242524.36051886,8526804.46416398,7980076.30937339,8019678.68461382,8218197.3561985,9047281.23769944,7687996.7417122,7871700.21698943,10244960.6669768,8829995.49693235,7357805.03357565,8977442.30148193,8481672.50272526,10072671.2559221,9601616.84929707,7635149.04499797,8430045.04031407,8212719.21090467,9420111.17510912,7887940.37401456
"20080107",6900243.08450094,5073610.9927793,7229957.73283945,6513694.14869888,6694684.34519586,6230681.62926384,6806102.48220245,4278083.01439038,5045101.52134314,7093730.66283628,5061224.47415911,5258389.24226173,4604652.48613557,6031839.3035878,4614800.84266102,6005678.15381505,6640017.0682214,5129439.63877113,6808269.3782008,4756514.94154614,5166243.00803507,5867284.61842476,6788495.63709425,5767469.49656423,4099616.50453595,3829195.93185521,4146656.71702764,4474608.44508245,5186144.53160625,5478669.80486807,7350521.35288668,4359312.16702066,5752007.6082293,4803563.29222024,5921099.53428848,6571048.18025579,6579350.70469523,4969104.29381611,4424920.71991888,5876412.51188904,6876313.57579628,7422800.76073379,6129681.59103538,4706472.74608336,4449322.25487456,4310641.45594293,7276311.40039122,7025799.62080643,5647221.14823734,4139219.74264579,5310429.92766381,7030910.98113452,4853060.54884558,5695058.41941542,4287668.54190381,5239696.00148445,6857820.48952832,4213127.58690928,5639873.54637116,2681814.21435716,5126859.03552793,6903323.12082455,4295533.00745466,4891025.91010166,4736221.18793445,4606405.79682627,5542921.8787908,4812182.28237053,5053109.58214841,4237316.02332359,6470342.70121644,4759112.87352259,6944730.27927615,6295258.39249038,4074352.18297903,6159744.62479315,5341860.59896175,4523264.56740817,6498221.90489384,5164949.41562815,4185311.97450763,4760540.07617839,4445089.68314004,5544937.1381179,4195377.49473022,3915949.90393197,7410327.31068479,5119071.07933441,4105379.68477505,5460272.52027062,5540632.52048839,6934504.52136577,6523774.14276387,4082326.67337463,4251289.94711312,4521521.8790517,6744630.11338898,4684472.94831422
"20080108",10473540.2879487,8338331.16137687,12250785.3243195,11231569.6393898,11827891.9309135,11287566.6602437,11812651.2222268,7024057.0705514,8918296.59763185,11114933.6522898,8197214.69458859,9680837.44748389,7747748.65372551,10735217.4588212,8517516.81253018,9570430.0723201,11759504.2945863,8926798.80337398,11610602.7564183,7962094.38068639,8539093.76099166,10151438.8547559,11900757.535862,9868452.29780202,6291788.57873838,6151058.7371092,5443621.80698453,7692942.56763097,7854254.26453337,9722362.11664697,12286148.3663184,6598466.88347786,10397423.5575501,8187492.35421626,10608840.2437852,11497731.6896663,11296146.3682769,9271581.60868475,6839483.36519738,10337060.3572269,11674520.5947324,12560727.4605255,11060796.8110613,7228220.55240808,5853805.88556417,5699591.2216289,11130695.8141511,10480959.3371979,9795586.03971608,7422024.06280008,8833352.31819634,12299439.1795405,8899032.15513608,10415955.0247105,7023825.07255184,9773614.78378226,12000102.9041526,5984025.47846247,9953491.61458368,5348160.93085591,8722473.10880936,10539529.7185477,7164176.79213051,8249631.33694094,7660936.97693713,7246809.68178887,8590740.53220233,8927117.95994212,8880233.84797991,6430743.2052373,11296901.0544802,8937840.02532137,11932294.0158797,9596445.62867752,5637251.23427348,10322318.3528587,8795191.56216308,7761199.47962682,11759409.3012664,8981372.64423028,6172716.39499607,8418291.46045201,7460581.91145224,9150767.60469774,5711986.20885244,5788848.2224945,12360254.2520499,8496376.24109896,6415583.0743707,9433035.69301459,10602468.5178906,11146079.5707062,11437001.2495863,5101791.55831483,6652703.16170394,5288613.15492995,10805748.9179844,8131353.25831907
"20080109",10956906.09465,11118875.8524927,11240448.9285914,11142756.940559,9928343.5974968,9201125.71368769,10740827.4930649,10384956.1345683,9276884.78264127,10220573.6140609,11024056.8343355,9541477.48427931,10495304.0282397,8972429.40105767,9454603.2076587,11505855.6650925,10591173.5056162,10858285.0187586,10204558.9447466,11310382.0101355,10679024.714787,9096784.97757454,10700850.7844318,10548189.7627649,11929163.6005767,12049032.422247,11061423.6146676,9745244.40518746,11881557.2909375,10194518.7886386,10781883.5729748,10994751.468097,9137208.15363567,9451811.81696516,8971297.49379016,10865849.9643616,9733730.3172554,10027638.0940063,10745350.6355666,10133532.5481302,10974099.4579494,11526723.6852462,9144330.36136124,12161384.1371242,12259109.051768,10425299.884089,10182385.115649,11486829.3107549,9377005.20411545,11657952.4318994,11431005.1385986,11044714.9288239,9941753.71815576,8633470.61366617,11113954.2332262,9006497.72406587,11370408.1488485,10100205.856349,10285818.0490796,11935545.8874604,9067893.43187468,10867559.3531033,10045304.0998644,10213689.2012321,10812722.4453038,10492945.1551412,11189359.5939333,9918863.32396988,10143279.0469858,10250574.0355859,10259165.2956333,9617355.63493281,10862275.4850825,12031179.1242907,11034410.1720793,9229636.04336501,10850337.1907395,9938243.06703154,9364262.89382072,10398105.1933985,11323737.2910758,9820892.02936,11200448.2996678,11442404.5653595,10768652.0742046,11802367.9728719,11506372.8039291,11211174.8688023,9971828.71609021,10876553.9395901,9980619.47653291,11931063.8560968,10680929.0471418,10947852.7270282,11568343.6875204,11191152.0536979,9803361.7061481,9883964.02679551
"20080110",10715443.2739831,9343332.78603437,12721207.9808946,11941371.1427258,11622629.4934217,11242286.4958937,12187332.5199877,8359288.64572787,9079042.34572699,11670792.7118419,9417966.43922105,9494572.60814609,8981469.20088084,10103503.7310769,9005569.11311702,10253687.9124649,12254798.9804055,9711943.70215653,11749497.1930526,9181554.92874975,9519276.8076532,9831348.60277094,12373688.1977993,10148990.4643664,8397728.34117536,8211743.84975727,7770384.17607565,8402561.81214102,9618851.22988953,9968086.8667238,12501918.5649722,8439381.85365991,9865254.86967552,8731353.2314329,9982300.71374918,11999721.9819565,11566023.958858,9545438.69716217,8474121.6534228,10200457.3045002,12326411.6055961,13028320.340734,11112642.5565417,8799921.1709126,8210780.21248755,7462164.53005167,11594038.6461052,10803746.3584777,9597414.71109924,9518972.22198989,9953074.59597482,12649612.2293094,9020608.61649036,9751871.43872115,8643432.7007146,9338071.01664505,12699612.835844,7450809.04186927,9994726.740428,8271064.95926266,8965105.09089294,10719703.5142878,8227372.14022443,9014441.58729634,8959934.61232933,8553504.65519822,9880405.95788433,9127374.08232622,9262014.00365144,7993347.28695941,11621735.9269236,9051386.81418611,12397382.9358379,10694959.3186357,7696190.96955761,9700691.40329941,9647372.58637905,8609506.63067407,11689120.8119833,9667179.17852719,8213206.28936635,9025676.4126861,9076078.32294096,10228851.5476601,7577154.02613008,8008962.9578379,12882235.6975682,9770575.80595477,7642507.5801478,10055600.7056979,10189437.4019997,12246012.1211558,12026172.5306116,7363472.89706749,9129557.4491989,7657161.02671444,11025197.8351806,8660004.45217438
